company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
Cloudmade,http://cloudmade.com,2007,Menlo Park,CA,us,94025,51-200,Private,Geospatial/Mapping,Not reported by company,Business to Business
Cloudspyre,http://www.cloudspyre.com,2010,Bristow,VA,us,20152,10-Jan,Private,Lifestyle & Consumer,"Consulting, App Sales",Business to Business
Code for America,http://codeforamerica.org,2009,San Francisco,CA,us,94103,51-200,Nonprofit,Governance,Philanthropic grants,Business to Government
Code-N,http://www.code-n.com,2010,Menlo Park,CA,us,94025,Nov-50,Private,Data/Technology,Not reported by company,Business to Business
Collective IP,www.collectiveip.com,2011,Denver,CO,us,80216,10-Jan,Private,"Data/Technology,",Software licensing,Business to Business
"College Abacus, an ECMC initiative",https://collegeabacus.org,1994,Washington,DC,us,,"501-1,000",Nonprofit,Finance & Investment,No revenue; this is an ECMC non-profit initiative.,
College Board,http://www.collegeboard.org,1900,New York,NY,us,11023,"1,001-5,000",Nonprofit,Education,"educational assessment, Data analysis for clients, Database licensing",
Compared Care,comparedcare.com,2014,Baltimore,MD,us,,10-Jan,Private,Healthcare,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
Compendia Bioscience Life Technologies,http://www.lifetechnologies.com/us/en/home/life-science/cancer-research/cancer-genomics/compendia-bioscience-life-technologies.html,2006,Ann Arbor,MI,us,48104,Nov-50,Public,Scientific Research,"Database licensing, Software licensing, Subscriptions","Business to Business, Business to Government, academia"
Compliance and Risks,http://www.complianceandrisks.com,2000,Oregon House,CA,us,95962,Nov-50,Private,Business & Legal Services,Not reported by company,Business to Business
Computer Packages Inc,http://www.computerpackages.com/,1968,Rockville,MD,us,20850,51-200,Private,Data/Technology,Not reported by company,Business to Business
CONNECT-DOT LLC.,http://conndot.com,2014,Fair Lawn,NJ,us,7410,10-Jan,Private,Lifestyle & Consumer,"Consulting, Data analysis for clients, Lead generation to other businesses","Business to Consumer, Business to Government"
ConnectEDU,http://www.connectedu.com,2002,Boston,MA,us,2210,51-200,Private,Education,Not reported by company,Business to Consumer
Connotate,http://www.connotate.com,2000,New Brunswick,NJ,us,8901,51-200,Private,Data/Technology,Not reported by company,Business to Business
Construction Monitor LLC,www.constructionmonitor.com,1989,Cedar City,UT,us,84721,Nov-50,Private,Housing/Real Estate,"Database licensing, Subscriptions",Business to Business
Consumer Reports,www.consumerreports.org,1936,Yonkers,NY,us,10703,"501-1,000",Nonprofit,Lifestyle & Consumer,"Subscriptions, Philanthropic grants",
