company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
Quid,http://quid.com,1999,San Francisco,CA,us,94111,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Government"
R R Donnelley,http://www.rrdonnelley.com,1864,Chicago,IL,us,60606,"10,001+",Public,Business & Legal Services,Not reported by company,
RAND Corporation,http://www.rand.org,1946,Santa Monica,CA,us,90401,"1,001-5,000",Nonprofit,Research & Consulting,Not reported by company,"Business to Business, Business to Government"
Rand McNally,http://www.randmcnally.com/,1856,Skokie,IL,us,60077,201-500,Private,Geospatial/Mapping,Not reported by company,"Business to Business, Business to Consumer"
Rank and Filed,http://rankandfiled.com/,2013,,NY,us,,NA,Private,Finance & Investment,Not reported by company,
Ranku,http://goranku.com,2013,New York,NY,us,10001,10-Jan,sole proprietorship,Education,Not reported by company,Business to Consumer
Rapid Cycle Solutions,www.rapidcyclesolutions.com,2013,Nokesville,VA,us,20181,10-Jan,Private,Data/Technology,IT related consulting services,"Business to Business, Business to Government"
realtor.com,http://www.realtor.com/,1996,San Jose,CA,us,95113,"1,001-5,000",Public,Housing/Real Estate,Not reported by company,Business to Consumer
Recargo,http://www.recargo.com,2010,Venice,CA,us,90291,Nov-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer"
ReciPal,https://www.recipal.com/,2011,,NY,us,,NA,Private,Food & Agriculture,Not reported by company,
Redfin,http://www.redfin.com,2004,Seattle,WA,us,98121,201-500,Private,Housing/Real Estate,Brokerage Fees,Business to Consumer
RedLaser,http://redlaser.com,2003,San Jose,CA,us,95126,Nov-50,Public,Lifestyle & Consumer,Not reported by company,Business to Consumer
Reed Elsevier,http://www.reedelsevier.com/Pages/Home.aspx,1880,New York,NY,us,10017,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
REI Systems,www.reisystems.com,1989,Sterling,VA,us,20166,"501-1,000",Private,Data/Technology,"Data analysis for clients, Database licensing",
Relationship Science,https://www.relsci.com,2010,New York,NY,us,10022,"501-1,000",Private,Business & Legal Services,Not reported by company,
Remi,www.remi.com,1980,Amherst,MA,us,1002,51-200,Private,Governance,not reported by company,"Business to Business, Business to Government"
Retroficiency,http://www.retroficiency.com,2009,Boston,MA,us,2114,Nov-50,Private,Energy,Not reported by company,Business to Business
Revaluate,https://revaluate.com/,2014,New York,NY,us,10022,10-Jan,Private,"Housing/Real Estate,","Lead generation to other businesses, Subscriptions",Business to Consumer
Revelstone,http://www.revelstonelabs.com,2010,Parsippany,NJ,us,7054,Nov-50,Private,Governance,Software licensing,Business to Government
Rezolve Group,http://www.rezolvegroup.com,2007,Sacramento,CA,us,95827,Nov-50,Private,Education,Not reported by company,Business to Consumer
Rivet Software,http://rivetsoftware.com,2003,Denver,CO,us,80237,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Roadify Transit,www.roadify.com,2010,New York City,NY,us,11215,10-Jan,Private,Transportation,"Lead generation to other businesses, Subscriptions",Business to Consumer
Robinson + Yu,http://www.robinsonyu.com,2011,,DC,us,,NA,,Research & Consulting,Not reported by company,
Russell Investments,http://www.russell.com/indexes/,1936,Seattle,WA,us,98101,"1,001-5,000",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Sage Bionetworks,http://sagebase.org,2009,Seattle,WA,us,98109,Nov-50,Nonprofit,Scientific Research,"Storage, provenance, version control, and collaboration on open biological data.","Business to Business, academia"
SAP,http://www.sap.com/,1972,Newtown Square,PA,us,19073,"10,001+",Public,Data/Technology,Not reported by company,Business to Business
SAS,http://www.sas.com/,1976,Cary,NC,us,27513,"10,001+",Private,Data/Technology,Not reported by company,Business to Business
Scale Unlimited,http://www.scaleunlimited.com/,2006,,CA,us,,10-Jan,Private,Data/Technology,Not reported by company,Business to Business
Science Exchange,scienceexchange.com,2011,Palo Alto,CA,us,94301,Nov-50,Private,Scientific Research,User fees for web or mobile access,"Business to Business, academia"
Seabourne,www.seabourneinc.com,2010,Washington DC,DC,us,20009,201-500,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
SeeClickFix,en.seeclickfix.com,2008,New Haven,CT,us,6510,Nov-50,Private,Governance,"Advertising, Software licensing","Business to Consumer, Business to Government"
SigFig,https://www.sigfig.com/,2008,San Francisco,CA,us,94103,Nov-50,Private,Finance & Investment,Not reported by company,Business to Business
Simple Energy,http://simpleenergy.com,2010,Boulder,CO,us,80302,Nov-50,Private,Energy,Software licensing,Business to Business
SimpleTuition,http://www.simpletuition.com/,2006,Boston,MA,us,2210,Nov-50,Private,Education,Not reported by company,Business to Consumer
SlashDB,http://www.slashdb.com/,2010,Jersey City,NJ,us,7305,10-Jan,Private,Data/Technology,"Consulting, Data analysis for clients, Database licensing, Software licensing","Business to Business, Business to Government"
Smart Utility Systems,http://smartusys.com/,2009,Chino Hills,CA,us,91709,201-500,Private,Energy,Not reported by company,Business to Business
SmartAsset,smartasset.com,2010,New York City,NY,us,10005,10-Jan,Private,Finance & Investment,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
SmartProcure,http://smartprocure.us/,2011,Deerfield Beach,FL,us,33441,Nov-50,Private,Governance,Subscriptions,Business to Business
Smartronix,http://smartronix.com/,1995,Hollywood,MD,us,20636,"501-1,000",Private,Data/Technology,Not reported by company,
SnapSense,www.snapsense.co,2011,Chicago,IL,us,60654,10-Jan,Private,Research & Consulting,not reported by company,"Business to Government, nonprofit"
Social Explorer,http://www.socialexplorer.com/,2007,New York,NY,us,10708,Nov-50,Private,Data/Technology,"Software licensing, Subscriptions, partnerships","Business to Business, Business to Consumer"
Social Health Insights,http://socialhealthinsights.com/,2012,Fishers,IN,us,46038,10-Jan,Private,Healthcare,"Data analysis for clients, Database licensing, Custom Development and Strategic Consulting",Business to Business
SocialEffort Inc,http://socialeffort.co/,2013,,NY,us,10013,10-Jan,Private,Lifestyle & Consumer,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Socrata,www.socrata.com,2007,Seattle,WA,us,98104,51-200,Private,Data/Technology,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Solar Census,http://www.solarcensus.com,2006,,CA,us,,10-Jan,Private,Energy,,Business to Business
SolarList,solarlist.com,2013,Brooklyn,NY,us,11201,10-Jan,Private,Energy,Lead generation to other businesses,
Sophic Systems Alliance,http://www.sophicalliance.com,1993,East Falmouth,MA,us,2536,10-Jan,Private,Scientific Research,Not reported by company,"Business to Business, Business to Government, academia + nonprofit"
S&P Capital IQ,https://www.capitaliq.com,2010,New York,NY,us,10041,"5,001-10,000",Private,Finance & Investment,Not provided by company,Business to Business
SpaceCurve,www.spacecurve.com,2009,Seattle,WA,us,98104,Nov-50,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
SpeSo Health,http://www.spesohealth.com/,2013,Philadelphia,PA,us,19103,10-Jan,Private,Healthcare,Not reported by company,Business to Consumer
Spikes Cavell Analytic Inc,http://www.spikescavell.com/,2003,Herndon,VA,us,20170,Nov-50,Private,Data/Technology,"Data analysis for clients, Database licensing",Business to Government
Splunk,http://www.splunk.com/,2003,San Francisco,CA,us,94107,"501-1,000",Public,Data/Technology,Software licensing,
Spokeo,http://www.spokeo.com/,2006,Pasadena,CA,us,91105,51-200,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
SpotCrime,www.spotcrime.com,2007,Baltimore,MD,us,21202,Nov-50,Private,Governance,Advertising,"Business to Consumer, nonprofit"
SpotHero.com,http://spothero.com/,2010,Chicago,IL,us,60654,10-Jan,Private,Transportation,Not reported by company,Business to Consumer
Stamen Design,http://stamen.com/,2001,San Francisco,CA,us,94110,NA,Private,Geospatial/Mapping,Not reported by company,Business to Business
Standard and Poor's,http://www.standardandpoors.com/en_US/web/guest/home,1860,,NY,us,,"10,001+",Public,Finance & Investment,Not reported by company,
State Farm Insurance,http://www.statefarm.com/,1922,Bloomington,IL,us,61710,"10,001+",Private,Insurance,Not reported by company,
Sterling Infosystems,http://www.sterlinginfosystems.com/,1976,New York,NY,us,10004,Nov-50,Private,Business & Legal Services,Not reported by company,
Stevens Worldwide Van Lines,http://www.stevensworldwide.com/,1905,Wyckoff,NJ,us,7481,201-500,Private,Transportation,Not reported by company,Business to Business
STILLWATER SUPERCOMPUTING INC,http://www.stillwater-sc.com,2007,El Dorado Hills,CA,us,95762,Nov-50,Private,Research & Consulting,"Consulting, Data analysis for clients, Database licensing, Software licensing",Business to Business
StockSmart,http://www.stocksmart.com,2012,Boston,MA,us,2142,Nov-50,Private,Finance & Investment,"Subscriptions, User fees for web or mobile access",Business to Consumer
Stormpulse,http://stormpulse.com/,2004,Austin,TX,us,78759,10-Jan,Private,Environment & Weather,Not reported by company,Business to Business
StreamLink Software,http://www.streamlinksoftware.com/,2008,Cleveland,OH,us,44115,Nov-50,Private,Data/Technology,Software licensing,"Business to Government, nonprofit"
"StreetCred Software, Inc",streetcredsoftware.com,2012,Southlake,TX,us,76092,Nov-50,Private,Governance,"Software licensing, Subscriptions",Business to Government
StreetEasy,http://streeteasy.com/,2005,,NY,us,,Nov-50,Private,Housing/Real Estate,Not provided by company,Business to Consumer
Suddath,http://www.suddath.com/,1919,Wayne,NJ,us,7470,"1,001-5,000",Private,Transportation,Not reported by company,
Symcat,http://www.symcat.com/,2011,Baltimore,MD,us,21224,10-Jan,Private,Healthcare,Philanthropic grants,Business to Consumer
Synthicity,http://www.synthicity.com/,2012,Berkely,CA,us,94704,10-Jan,Private,Housing/Real Estate,"Data analysis for clients, Database licensing","Business to Business, Business to Government"
T. Rowe Price,http://www.troweprice.com,1937,Baltimore,MD,us,21202,NA,Public,Finance & Investment,Not reported by company,
Tableau Software,http://www.tableausoftware.com/,2003,Seattle,WA,us,98103,"1,001-5,000",Public,Data/Technology,Not reported by company,
TagniFi,tagnifi.com,2012,Tampa,FL,us,33602,10-Jan,Private,Finance & Investment,Database licensing,Business to Business
Telenav,http://www.telenav.com/,1999,Sunnyvale,CA,us,94085,"501-1,000",Public,Geospatial/Mapping,Not reported by company,
Tendril,http://www.tendrilinc.com/,2004,Boulder,CO,us,80301,51-200,Private,Energy,Not reported by company,Business to Business
Teradata,http://www.teradata.com/,1979,Dayton,OH,us,45342,NA,Public,Data/Technology,Not reported by company,
The Advisory Board Company,http://www.advisory.com/,1979,,DC,us,,"1,001-5,000",Public,Research & Consulting,Not reported by company,
The Bridgespan Group,http://www.bridgespan.org/,1973,Boston,MA,us,2116,51-200,Private,Research & Consulting,,"Business to Government, nonprofit"
The DocGraph Journal,http://docgraph.org/,2013,Houston,TX,us,77004,10-Jan,Private,Healthcare,Database licensing,Business to Consumer
The Govtech Fund,www.govtechfund.com,2014,San Francisco,CA,us,94117,NA,Private,Finance & Investment,Not reported by company,
The Schork Report,schorkreport.com,2005,Villanova,PA,us,19085,10-Jan,Private,Energy,Subscriptions,Business to Business
The Vanguard Group,http://www.vanguard.com/,1975,Valley Forge,PA,us,19482,"10,001+",Private,Finance & Investment,Not reported by company,
Think Computer Corporation,thinkcomputer.com,1998,Mountain View,CA,us,94041,10-Jan,Private,Business & Legal Services,"Data analysis for clients, Database licensing, Subscriptions",Business to Business
Thinknum,http://www.thinknum.com/,2013,New York,NY,us,10036,10-Jan,Private,Finance & Investment,"Software licensing, Subscriptions",Business to Consumer
Thomson Reuters,http://thomsonreuters.com/,2008,New York,NY,us,10036,"10,001+",Public,Business & Legal Services,Not reported by company,
TopCoder,http://www.topcoder.com/,2001,San Francisco,CA,us,94102,51-200,,Data/Technology,Not reported by company,Business to Consumer
TowerData,http://intelligence.towerdata.com/,2006,San Francisco,CA,us,60201,Nov-50,Private,Data/Technology,Not reported by company,Business to Business
TransparaGov,http://www.TransparaGov.com/,2011,,DC,us,,Nov-50,Private,Governance,Not reported by company,"Business to Consumer, Business to Government"
TransUnion,http://www.transunion.com/,1968,Chicago,IL,us,60661,"1,001-5,000",Private,Business & Legal Services,Not reported by company,
TrialTrove,http://www.citeline.com/products/trialtrove/,2002,New York,NY,us,10017,NA,,Healthcare,Not reported by company,
TrialX,http://trialx.com/,2007,New York,NY,us,10002,10-Jan,Private,Healthcare,"Software licensing, Subscriptions","Business to Business, Business to Consumer, academia + nonprofit"
Trintech,http://www.trintech.com/,2000,Addison,TX,us,75001,51-200,Private,Finance & Investment,Not reported by company,Business to Business
TrueCar,http://www.truecar.com/,2005,Santa Monica,CA,us,90401,201-500,Private,Transportation,Not reported by company,Business to Consumer
Trulia,trulia.com,2005,San Francisco,CA,us,94105,201-500,Public,Housing/Real Estate,Advertising,
TrustedID,https://www.trustedid.com/,2005,Palo Alto,CA,us,94306,51-200,Private,Lifestyle & Consumer,Not reported by company,"Business to Business, Business to Consumer"
TuvaLabs,https://www.tuvalabs.com/,2012,New York,NY,us,10018,10-Jan,Private,Education,"Philanthropic grants, Subscriptions","Business to Business, Business to Consumer, Business to Government"
Uber,https://www.uber.com/,2009,San Francisco,CA,us,94105,"1,001-5,000",Private,Transportation,Not reported by company,
Unigo LLC,www.unigo.com,2008,New York,NY,us,10016,Nov-50,Private,Education,not reported by company,Business to Consumer
United Mayflower,http://www.unitedmayflower.com/,2006,St. Louis,MO,us,63122,10-Jan,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Urban Airship,http://urbanairship.com/,2009,,OR,us,,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
"Urban Mapping, Inc",http://www.urbanmapping.com/,2006,San Francisco,CA,us,94108,10-Jan,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions",Business to Business
US Green Data,http://www.usgreendata.com/,2010,Cambridge,MA,us,2142,NA,Private,Energy,Not reported by company,
U.S. News Schools,http://www.usnews.com/,1983,Washington,DC,us,20007,NA,Private,Education,Not reported by company,
USAA Group,https://www.usaa.com,1922,San Antonio,TX,us,78252,"10,001+",Private,Finance & Investment,not reported by company,
USSearch,http://www.ussearch.com/,1994,Bellevue,WA,us,98009,51-200,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
Verdafero,www.verdafero.com,2009,San Francisco,CA,us,94121,10-Jan,Private,Data/Technology,"Subscriptions, Data analysis for clients, Database licensing",
Vimo,www.vimo.com,2012,Palo Alto,CA,us,94043,51-200,Private,Insurance,not reported by company,
"VisualDoD, LLC",www.visualdod.com,2012,Reston,VA,us,20190,10-Jan,Private,Aerospace and Defense,"Software licensing, Subscriptions, Advisory services","Business to Business, Business to Government"
Vital Axiom | Niinja,niinja.co,2012,Chicago,IL,us,60610,10-Jan,Private,Data/Technology,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
VitalChek,https://www.vitalchek.com/,1987,Brentwood,TN,us,37024,51-200,Public,Governance,Not reported by company,Business to Consumer
Vitals,http://www.vitals.com/,2007,Lyndhurst,NJ,us,7071,51-200,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Vizzuality,vizzuality.com,2011,New York,NY,us,10013,10-Jan,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer, Business to Government, academia"
Votizen,www.votizen.com,2010,,NY,us,,10-Jan,Private,Governance,not reported by company,Business to Consumer
Walk Score,www.walkscore.com,2007,Seattle,WA,us,98105,10-Jan,Private,Lifestyle & Consumer,"Advertising, Database licensing, Subscriptions","Business to Business, Business to Consumer"
WaterSmart Software,http://www.watersmartsoftware.com/,2009,San Francisco,CA,us,94107,Nov-50,Private,Environment & Weather,"Data analysis for clients, Database licensing, Software licensing, Subscriptions",Business to Business
WattzOn,http://www.wattzon.com/,2008,Mountain View,CA,us,94040,Nov-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer"
Way Better Patents,http://waybetterpatents.com/,2012,Oakton,VA,us,22124,10-Jan,Private,Business & Legal Services,"Subscriptions, Custom Reports and Analysis","Business to Business, Business to Consumer"
Weather Channel,http://www.weather.com/,1982,Atlanta,GA,us,30339,"1,001-5,000",Public,,Not reported by company,
Weather Decision Technologies,http://www.wdtinc.com/,1999,Norman,OK,us,73072,51-200,Private,Environment & Weather,Not reported by company,Business to Business
Weather Underground,http://www.wunderground.com/,1995,San Francisco,CA,us,94108,51-200,Private,Environment & Weather,Not provided by company,"Business to Business, Business to Consumer"
WebFilings,https://www.webfilings.com/,2008,Ames,IA,us,50010,"501-1,000",Private,Finance & Investment,Not reported by company,
Webitects,webitects.com,1998,Chicago,IL,us,60603,Nov-50,Private,Data/Technology,"Data analysis for clients, Database licensing, Web Design, Development","Business to Government, academia + nonprofit"
WebMD,http://www.webmd.com/,1996,New York,NY,us,10011,"1,001-5,000",Public,Healthcare,Not reported by company,
Weight Watchers,http://www.weightwatchers.com/,1960,Jericho,NY,us,11753,"10,001+",Public,Lifestyle & Consumer,Not reported by company,
WeMakeItSafer,http://wemakeitsafer.com/,2009,Oakland,CA,us,94610,10-Jan,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Wheaton World Wide Moving,http://www.wheatonworldwide.com/,1945,Indianapolis,IN,us,46250,51-200,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Whitby Group,http://www.whitbygroup.com,2001,Ithaca,NY,us,14853,Nov-50,Private,Research & Consulting,Design consulting,
Wolfram Research,http://www.wolfram.com/,1987,Champaign,IL,us,,"501-1,000",Private,Data/Technology,Not reported by company,
Wolters Kluwer,http://www.wolterskluwer.com/,1836,Minneapolis,MN,us,55402,"10,001+",Public,Business & Legal Services,Not reported by company,
Workhands,https://www.workhands.us/,2012,San Francisco,CA,us,94107,NA,,Lifestyle & Consumer,Not reported by company,
Xatori,http://www.xatori.com/,2010,Menlo Park,CA,us,94025,10-Jan,Private,Energy,Not reported by company,
Xcential,xcential.com,2003,Encinitas,CA,us,92024,10-Jan,Private,Governance,Other,Business to Government
xDayta,http://www.xdayta.com,2013,Phoenix,AZ,us,85028,10-Jan,Private,Data/Technology,"Lead generation to other businesses, User fees for web or mobile access, Marketplace Broker Fees",Business to Consumer
Xignite,http://www.xignite.com/,2000,San Mateo,CA,us,94402,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Yahoo,http://www.yahoo.com/,1994,Sunnyvale,CA,us,94089,"10,001+",Public,Lifestyle & Consumer,Not reported by company,
Zebu Compliance Solutions,www.zebucompliance.com,1999,Portsmouth,OH,us,45662,Nov-50,Private,Healthcare,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Government"
Yelp,http://www.yelp.com/,2004,San Francisco,CA,us,94105,"1,001-5,000",Public,Lifestyle & Consumer,Not reported by company,
YourMapper,http://www.yourmapper.com,2005,Louisville,KY,us,40204,10-Jan,Private,Geospatial/Mapping,"Advertising, Data analysis for clients, Database licensing, Software licensing, Subscriptions, API","Business to Business, Business to Consumer"
Zillow,http://www.zillow.com/,2006,Seattle,WA,us,98101,"1,001-5,000",Public,Housing/Real Estate,Not reported by company,
ZocDoc,http://www.zocdoc.com/,2007,New York,NY,us,10012,"501-1,000",Private,Healthcare,Not reported by company,
Zonability,http://www.zonability.com/,2003,Austin,TX,us,78702,Nov-50,Private,Housing/Real Estate,Not reported by company,"Business to Business, Business to Government, nonprofit"
Zoner,www.Zonerapp.com,2011,New York,NY,us,10018,10-Jan,Private,Housing/Real Estate,Subscriptions,"Business to Business, Business to Consumer, nonprofit"
Zurich Insurance (Risk Room),http://www.zurichna.com/,1912,Schaumburg,IL,us,60196,"10,001+",Public,Insurance,Not reported by company,
